Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall allow the SWCM Supervisor to request the transfer assignment of an Adoption Supervisor or Adoption Worker following the filing of a TPR Petition.,Req Traceability Matrix: Critical,FN0007,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,"The CCWIS solution shall allow users to add and edit associations, court information, and adoption/attorney payment information to the ""post adoption workflow.""",Req Traceability Matrix: Critical,FN0008,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall allow users to upload the home study for the prospective adoptive family to the ECF. ,Req Traceability Matrix: High,FN0011,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall display a case pending transfer on the Adoption Supervisor's dashboard when a request for transfer has been submitted.,Req Traceability Matrix: Critical,FN0014,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall display a case pending transfer on the Adoption Worker's dashboard when a request for transfer has been submitted.,Req Traceability Matrix: Critical,FN0015,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall generate a banner to indicate that a TPR order has been appealed on the Court and Adoption tabs. This will populate automatically when an appeal is entered in to the system. This information will display at the case and person level. ,Req Traceability Matrix: High,FN0244,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,"The CCWIS solution shall mark the Adoption case as ""active"" on the worker's dashboard following transfer. ",Req Traceability Matrix: Medium,FN0023,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,"The CCWIS solution shall require users to complete a ""post-adoptive workflow"" prior to the transfer to the Subsidy Worker.",Req Traceability Matrix: Critical,FN0024,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall require users to create a new person record for children with finalized adoptions.,Req Traceability Matrix: Critical,FN0025,,,,,,,
2. 2027 Go-Live MVP,TBD,,AI Use Case,"""Life of a Case"" form ",,,,,,,,,
2. 2027 Go-Live MVP,TBD,,AI Use Case,AI Case Summary,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,AI Use Case,Court Document Extraction,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,AI Use Case,Intelligent Case Notes,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,AI Use Case,Policy Assistant,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Assessment,Case Assessment page - with JARVIS integration,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Assessment,Person Assessment page - with JARVIS integration,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Associations,Case Associations - Relative Notices,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Associations,Case Associatons - Adding a New person to VISION,"Rare, but I think we need to be able to support adding new people in some way",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Associations,Person Associations - Relative Notices,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Associations,TPR Flag after end reason of TPR,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Authentication & Role Synchronization,See name and role set in VISION based on information in Iowa’s systems,"Need the ability to route cases to the correct supervisor, supervisors assign cases to their team, and filter cases by service area.
Alternatively, these could be manually selected by workers, who should know who to route cases to.",,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Billing/Payments,Case: Billing/Payments,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Billing/Payments,Person: Billing/Payments,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,"All data that was marked as ""Active"" in a person's profile, needs to move to ""Inactive,"" or other such modifier.",,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,"Change the status of the case to ""Closed"" - updates the view on dashboards, and creates a 30 day countdown where users can make any final edits before it locks, and we take the ""snapshot"" of it to be referenced moving forward. ",,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,"End-date out-of-home living arrangements prior to case closure in one comprehensive step. The system may also require the user to notify social security, check escrow, and complete a IV-E change form prior to case closure. ","High on Reqs Traceability Matrix

Could these be manually done rather than automatic?",FN0032,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,"End-date out-of-home living arrangements prior to case closure in one comprehensive step. The system may also require the user to notify social security, check escrow, and complete a IV-E change form prior to case closure. ",,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,"Generate the Case Closure Checklist, which can automatically detect outstanding open items in the checklist. For example: existing outstanding payments, uncanceled child care services, incomplete safety assessment, etc.",,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,Require users to end-date services that shall not continue prior to case closure in one comprehensive step. ,"High on Reqs Traceability Matrix

Could these be manually done rather than automatic?",FN0033,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Closure,Require users to end-date services that shall not continue prior to case closure in one comprehensive step. ,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Manager Dashboard,"Case Manager Dashboard - Child/Parent Visits, Intakes/Assessments, Cases Table","Child/Parent Visits maybe nice-to-have? Intake/Assessment, Case tables must-have
",,,,,,"Tasks Module (1 GET, 1 POST) 1 Screen, 1 Form.  Calendar (TBD, many work items).  Child/Parent Visits (May require multiple GET endpoints, 1 screen).  Intakes/Assessments (may require multiple GET Endpoints, 1 screen).  Cases Table (1 DataGrid, 1 GET Endpoint).  Child/Parent Visits (1 GET, 1 Datagrid).  Plan My Day (TBD - large effort)",,
2. 2027 Go-Live MVP,TBD,,Case Overview Page,Case Overview Page - Child Protective Services,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Overview Page,Case Overview Page - Indicators,Indicators like allergies can be a safety concern if not known quickly,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Overview Page,Case Overview Page - Workers complete list,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Setup,"Case Setup Drawer: Living Arrangements, Associations (relative notices), Case Set Up Checklist",Case Setup Checklist called out in SOW,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Setup,Case Transfer Approval Workflow with rejections,We'll need the ability to reject cases,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Workflow,ICPC receiving case,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Case Workflow,MFS case,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Case Workflow,Payment only case,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Case Workflow,Subsidy case,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Courts,Termination of Parent Rights (Order Details Disposition selection) - Workflow,https://www.figma.com/design/ywdex21HaDGvRZFJoxYDeS/Courts?node-id=3-62975&p=f&t=zfWetW1cwz13Iu4E-0,,,,,,Additiional complexities,,
2. 2027 Go-Live MVP,TBD,,CPS/Criminal History,Case Page: CPS/Criminal History,I'm thinking we need CPS/Criminal history for go-live,Manage CPS and Criminal History for case members with the CPS/Criminal History case and person pages,,,,,,,
2. 2027 Go-Live MVP,TBD,,CPS/Criminal History,Person Page: CPS/Criminal History,I'm thinking we need CPS/Criminal history for go-live,,,,,,,,
2. 2027 Go-Live MVP,TBD,,CPW Dashboard,CPW Dashboard - Non-Agency Services Table,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Dashboards,Intakes/Assessments,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Draft Case,"Draft Case Living Arrangements Workflows - Add: Contracted Providers (FFC - Fictive Kin, FFC - Relative, FFC - Standard, FFC - Therapeutic, FFC- Informal, NACC, PMIC, QRTP, Shelter Care, SAL - Clustered, SAL - Scattered, CPS by County, Contracted SAL providers, SJDP, State Institution - Evaluation, State Institution - Regular)","Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Draft Case,"Draft Case Living Arrangements Workflows - Add: Non-contracted providers: (Habilitation Home, Hospital, Jail, Psychiatric Hospital, Substance Use Facility, College Campus Housing, ICF/ID, Maternity Home, Other, Detention, Job Corps, PMIC)","Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Draft Case,"Draft Case Living Arrangements Workflows - Add: Runaway, Trial Home Visit","Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Draft Case,"Draft Case Page - Non-home living arrangements (Non-contracted Providers, runaway) dropdown",,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,ECF,Advanced ECF Features,Limit to features defined in expanded scope SOW,,"Bi-direction sync between JARVIS and VISION ECF, document versioning, etc.

TODO: Breakout sub features based on discovery sessions",,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Foster Care Licensing Provider Management,Foster Care Licensing Provider Management,,,,,,,,,
